City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Waingapu,ID,2022-04-09 22:59:11,-9.6567,120.2641,77.59,78,52,3.91
68,Arraial Do Cabo,BR,2022-04-09 22:59:11,-22.9661,-42.0278,76.86,90,86,11.05
69,Mezen,RU,2022-04-09 22:59:11,65.8522,44.24,31.73,97,97,5.73
70,Bredasdorp,ZA,2022-04-09 22:59:12,-34.5322,20.0403,62.33,84,51,17.45
71,Fortuna,US,2022-04-09 22:50:02,40.5982,-124.1573,55.92,62,0,20.71
72,East London,ZA,2022-04-09 22:59:12,-33.0153,27.9116,64.24,91,100,10.09
73,Svetlyy,RU,2022-04-09 22:59:13,54.675,20.1347,41.05,75,8,19.86
74,Maniitsoq,GL,2022-04-09 22:56:12,65.4167,-52.9,18.18,81,71,4.65
75,Chokurdakh,RU,2022-04-09 22:59:13,70.6333,147.9167,-8.72,96,99,4.32
76,Vao,NC,2022-04-09 22:59:14,-22.6667,167.4833,77.0,86,51,19.6
77,Srednekolymsk,RU,2022-04-09 22:59:14,67.45,153.6833,-2.65,92,100,6.76
78,Tuktoyaktuk,CA,2022-04-09 22:59:14,69.4541,-133.0374,6.8,78,100,24.16
79,Tuatapere,NZ,2022-04-09 22:52:38,-46.1333,167.6833,58.21,61,61,2.64
80,Lorengau,PG,2022-04-09 22:59:15,-2.0226,147.2712,83.07,75,75,6.49
81,Bluff,NZ,2022-04-09 22:59:15,-46.6,168.3333,58.03,73,43,23.6
82,Rikitea,PF,2022-04-09 22:54:29,-23.1203,-134.9692,79.2,73,10,18.01
83,Grindavik,IS,2022-04-09 22:59:15,63.8424,-22.4338,37.87,87,75,25.32
84,Guerrero Negro,MX,2022-04-09 22:59:16,27.9769,-114.0611,77.9,41,2,15.28
85,Lebu,CL,2022-04-09 22:59:16,-37.6167,-73.65,52.63,85,71,0.74
86,Sao Filipe,CV,2022-04-09 22:59:16,14.8961,-24.4956,74.62,69,50,9.04
87,Lata,PT,2022-04-09 22:59:17,40.1629,-8.3327,58.82,96,52,3.2
88,Port Elizabeth,ZA,2022-04-09 22:59:17,-33.918,25.5701,65.1,96,100,6.91
89,Alexandria,EG,2022-04-09 22:59:18,31.2156,29.9553,60.76,82,0,8.05
90,Portland,US,2022-04-09 22:58:17,45.5234,-122.6762,56.62,48,87,8.99
91,Mahibadhoo,MV,2022-04-09 22:55:03,3.7833,72.9667,83.89,73,98,11.88
92,Yatou,CN,2022-04-09 23:00:18,37.15,122.3833,53.87,78,0,12.1
93,Mahebourg,MU,2022-04-09 23:00:19,-20.4081,57.7,76.24,81,11,13.62
94,Nome,US,2022-04-09 23:00:19,64.5011,-165.4064,31.15,88,100,4.65
95,Puerto Ayora,EC,2022-04-09 23:00:20,-0.7393,-90.3518,80.55,75,85,7.05
96,Lyngseidet,NO,2022-04-09 23:00:20,69.5763,20.2189,33.8,95,100,2.42
97,Kavieng,PG,2022-04-09 23:00:20,-2.5744,150.7967,82.63,72,91,4.07
98,Ntoum,GA,2022-04-09 23:00:21,0.3833,9.7833,72.82,94,99,3.62
99,Izacic,BA,2022-04-09 23:00:21,44.875,15.7819,35.53,97,100,7.16
100,Hanzhong,CN,2022-04-09 23:00:22,33.0728,107.0303,60.66,74,1,1.19
101,Pasco,US,2022-04-09 23:00:22,28.292,-82.4165,65.05,51,2,14.0
102,Santiago Del Estero,AR,2022-04-09 23:00:23,-27.7951,-64.2615,76.15,69,95,12.33
103,Sagua La Grande,CU,2022-04-09 23:00:23,22.8067,-80.0756,74.98,54,50,12.24
104,Quatre Cocos,MU,2022-04-09 22:56:15,-20.2078,57.7625,77.11,81,20,14.12
105,Gasa,PS,2022-04-09 22:56:11,31.5,34.4667,59.81,84,0,5.39
106,Umm Lajj,SA,2022-04-09 23:00:24,25.0213,37.2685,77.05,57,47,4.36
107,Broken Hill,AU,2022-04-09 22:51:29,-31.95,141.4333,65.91,77,2,9.22
108,Khatanga,RU,2022-04-09 23:00:25,71.9667,102.5,-5.28,100,93,2.35
109,Port Alfred,ZA,2022-04-09 23:00:25,-33.5906,26.891,62.19,95,100,4.0
110,Velikodvorskiy,RU,2022-04-09 23:00:25,55.25,40.6678,42.91,90,100,7.27
111,Brae,GB,2022-04-09 23:00:26,60.3964,-1.353,37.04,60,100,19.01
112,Meulaboh,ID,2022-04-09 23:00:26,4.1363,96.1285,76.71,89,83,3.38
113,New Norfolk,AU,2022-04-09 23:00:26,-42.7826,147.0587,71.89,65,90,1.01
114,Urumqi,CN,2022-04-09 23:00:06,43.801,87.6005,49.15,43,0,2.24
115,Souillac,MU,2022-04-09 23:00:27,-20.5167,57.5167,76.87,84,13,12.55
116,Clyde River,CA,2022-04-09 23:00:27,70.4692,-68.5914,5.14,97,100,1.45
117,Oksfjord,NO,2022-04-09 23:00:27,70.2396,22.3479,37.47,98,100,6.13
118,Hobart,AU,2022-04-09 23:00:28,-42.8794,147.3294,72.23,72,75,10.36
119,Ostrovnoy,RU,2022-04-09 23:00:28,68.0531,39.5131,31.17,86,50,17.09
120,Natal,BR,2022-04-09 23:00:29,-5.795,-35.2094,81.25,89,20,5.75
121,Ucluelet,CA,2022-04-09 23:00:29,48.9329,-125.5528,45.09,75,29,1.01
122,Torbay,CA,2022-04-09 23:00:29,47.6666,-52.7314,34.29,96,100,24.16
123,Vaini,TO,2022-04-09 23:00:30,-21.2,-175.2,81.37,72,45,8.25
124,Darhan,MN,2022-04-09 23:00:30,49.4867,105.9228,34.32,79,77,2.1
125,Lagos,NG,2022-04-09 22:56:45,6.5833,3.75,80.92,84,100,3.65
126,Valparaiso,CL,2022-04-09 23:00:24,-33.0393,-71.6273,60.48,67,28,11.7
127,Cockburn Town,TC,2022-04-09 23:00:30,21.4612,-71.1419,78.55,79,67,14.25
128,Aranos,NA,2022-04-09 23:00:31,-24.1333,19.1167,65.91,59,4,3.96
129,Upernavik,GL,2022-04-09 23:00:31,72.7868,-56.1549,-3.41,99,60,4.85
130,Saskylakh,RU,2022-04-09 23:00:31,71.9167,114.0833,-13.54,97,26,0.85
131,Belgrade,RS,2022-04-09 23:00:17,44.804,20.4651,42.46,86,75,9.22
132,Eyl,SO,2022-04-09 23:00:32,7.9803,49.8164,79.74,82,79,6.8
133,Acapulco,MX,2022-04-09 22:56:17,16.8634,-99.8901,84.9,60,39,10.47
134,Lasa,IT,2022-04-09 23:00:32,46.6166,10.7002,34.7,91,38,6.29
135,Saint-Philippe,RE,2022-04-09 23:00:33,-21.3585,55.7679,76.59,84,43,11.25
136,Qui Nhon,VN,2022-04-09 23:00:33,13.7667,109.2333,69.39,81,73,7.02
137,Antalya,TR,2022-04-09 22:58:20,36.7741,30.7178,63.19,91,75,6.91
138,Namibe,AO,2022-04-09 23:01:33,-15.1961,12.1522,71.02,78,6,4.03
139,Marawi,PH,2022-04-09 22:56:10,7.9986,124.2928,69.57,90,100,2.21
140,Ixtapa,MX,2022-04-09 23:01:34,20.7,-105.2,86.25,52,2,7.49
141,Christchurch,NZ,2022-04-09 23:00:39,-43.5333,172.6333,62.01,78,75,3.44
142,Vaitape,PF,2022-04-09 22:56:21,-16.5167,-151.75,82.67,74,82,17.92
143,Chuy,UY,2022-04-09 23:01:34,-33.6971,-53.4616,67.03,85,34,10.38
144,Tazovskiy,RU,2022-04-09 23:01:34,67.4667,78.7,-17.68,100,84,5.75
145,Impfondo,CG,2022-04-09 23:01:35,1.6381,18.0667,73.04,83,100,2.66
146,San Policarpo,PH,2022-04-09 23:01:35,12.1791,125.5072,79.3,92,100,25.97
147,Amahai,ID,2022-04-09 23:01:35,-3.3333,128.9167,79.93,80,100,1.86
148,Xapuri,BR,2022-04-09 23:01:35,-10.6517,-68.5044,75.52,96,98,0.87
149,Baykit,RU,2022-04-09 23:01:36,61.67,96.37,13.17,97,86,2.06
150,Zhiryatino,RU,2022-04-09 23:01:36,53.2228,33.7306,46.72,98,100,5.21
151,Akdepe,TM,2022-04-09 23:01:36,42.0551,59.3788,65.19,41,100,8.39
152,Lompoc,US,2022-04-09 23:01:36,34.6391,-120.4579,78.12,63,0,30.0
153,Westport,US,2022-04-09 23:00:50,41.1415,-73.3579,54.09,62,52,8.01
154,Mao,ES,2022-04-09 23:01:37,39.8885,4.2658,48.76,87,0,4.61
155,Bilma,NE,2022-04-09 22:52:34,18.6853,12.9164,84.63,7,0,3.87
156,Kodinsk,RU,2022-04-09 23:01:37,58.6881,99.1844,26.24,96,100,2.93
157,Litovko,RU,2022-04-09 23:01:37,49.2361,135.1742,27.84,97,99,3.71
158,Chake Chake,TZ,2022-04-09 23:01:38,-5.2459,39.7666,80.01,73,25,7.4
159,Buala,SB,2022-04-09 23:01:38,-8.145,159.5921,84.31,68,82,5.03
160,Abha,SA,2022-04-09 23:01:38,18.2164,42.5053,61.72,49,0,0.78
161,Toora-Khem,RU,2022-04-09 23:01:39,52.4675,96.11,23.74,84,91,4.41
162,Rawson,AR,2022-04-09 23:01:39,-43.3002,-65.1023,61.16,91,100,20.87
163,Manacapuru,BR,2022-04-09 23:01:39,-3.2997,-60.6206,76.46,93,100,3.83
164,Krasnokamensk,RU,2022-04-09 23:01:39,50.0979,118.0369,36.14,85,66,12.73
165,Le Port,RE,2022-04-09 23:01:40,-20.9373,55.2919,78.76,69,46,1.43
166,Erbaa,TR,2022-04-09 23:01:40,40.6689,36.5675,58.71,55,21,2.86
167,Narsaq,GL,2022-04-09 23:01:40,60.9167,-46.05,34.02,63,3,3.76
168,Cayenne,GF,2022-04-09 22:53:47,4.9333,-52.3333,82.09,1,75,6.91
169,Yakeshi,CN,2022-04-09 23:01:41,49.2833,120.7333,44.82,57,40,19.66
170,Mukhen,RU,2022-04-09 23:01:41,48.1,136.1,37.33,72,86,3.87
171,Tual,ID,2022-04-09 22:53:53,-5.6667,132.75,84.45,71,38,14.45
172,Lengshuijiang,CN,2022-04-09 22:57:26,27.6881,111.4294,67.32,83,100,1.66
173,Victoria,HK,2022-04-09 23:01:41,22.2855,114.1577,71.94,75,0,5.99
174,Dubi,CZ,2022-04-09 23:01:42,50.6856,13.7856,37.44,93,68,8.23
175,Straumen,NO,2022-04-09 23:01:42,63.8709,11.2999,37.4,84,100,5.97
176,Paracuru,BR,2022-04-09 23:01:42,-3.41,-39.0306,79.11,87,100,6.13
177,Butterworth,MY,2022-04-09 23:01:43,5.3991,100.3638,78.84,94,20,0.0
178,San Cristobal,VE,2022-04-09 23:01:43,7.7669,-72.225,75.76,58,50,2.15
179,Rio Blanco,MX,2022-04-09 23:01:43,18.8333,-97.15,71.8,42,30,7.49
180,Riyadh,SA,2022-04-09 22:59:31,24.6877,46.7219,78.94,12,11,10.13
181,Alyangula,AU,2022-04-09 23:01:43,-13.8483,136.4192,83.05,60,90,4.34
182,Voh,NC,2022-04-09 22:55:06,-20.9667,164.7,81.18,76,77,5.84
183,Touros,BR,2022-04-09 23:01:44,-5.1989,-35.4608,80.69,80,74,11.83
184,Parainen,FI,2022-04-09 23:01:44,60.3067,22.301,33.89,94,91,10.94
185,Komsomolskiy,UZ,2022-04-09 23:01:44,40.4272,71.7189,63.37,62,95,3.74
186,Stokmarknes,NO,2022-04-09 23:01:45,68.5646,14.9108,33.78,80,100,3.44
187,Severnyy,RU,2022-04-09 23:02:45,50.677,36.5532,55.44,67,0,11.18
188,Haines Junction,CA,2022-04-09 23:02:45,60.7522,-137.5108,34.18,66,97,5.39
189,Norman Wells,CA,2022-04-09 23:02:46,65.282,-126.8329,15.3,86,100,15.32
190,Milkovo,RU,2022-04-09 23:02:46,54.7167,158.6167,26.87,68,72,0.65
191,Grand-Santi,GF,2022-04-09 23:02:46,4.25,-54.3833,73.99,99,100,2.46
192,Bom Conselho,BR,2022-04-09 23:02:46,-9.1697,-36.6797,69.75,90,93,6.38
193,Sucre,BO,2022-04-09 23:02:47,-19.0333,-65.2627,58.1,79,100,6.87
194,Presidente Epitacio,BR,2022-04-09 23:02:47,-21.7633,-52.1156,78.91,70,100,5.88
195,Gamba,GA,2022-04-09 23:02:47,-2.65,10.0,73.26,90,80,3.04
196,Willowmore,ZA,2022-04-09 23:02:48,-33.2926,23.4895,54.1,88,66,12.1
197,Murray,US,2022-04-09 23:01:32,40.6669,-111.888,55.62,20,100,18.41
198,Claresholm,CA,2022-04-09 23:00:50,50.0333,-113.5852,37.11,73,99,7.05
199,Niceville,US,2022-04-09 23:00:27,30.5169,-86.4822,66.76,47,0,12.66
200,Ojinaga,MX,2022-04-09 23:02:48,29.5667,-104.4167,91.58,15,0,3.44
201,Yen Bai,VN,2022-04-09 23:02:48,21.7,104.8667,66.13,83,3,1.61
202,Kampot,KH,2022-04-09 23:02:49,10.6167,104.1833,77.05,82,68,4.74
203,Orlik,RU,2022-04-09 23:02:49,52.5178,99.825,6.21,92,74,1.16
204,Mehamn,NO,2022-04-09 23:02:49,71.0357,27.8492,36.27,97,100,20.51
205,Marsabit,KE,2022-04-09 23:02:50,2.3284,37.9899,68.95,64,51,7.38
206,Cap Malheureux,MU,2022-04-09 23:02:50,-19.9842,57.6142,76.46,86,16,1.99
207,Sao Joao Da Barra,BR,2022-04-09 22:55:08,-21.6403,-41.0511,77.41,88,92,9.69
208,Butaritari,KI,2022-04-09 23:02:50,3.0707,172.7902,80.2,80,88,12.77
209,Saldanha,ZA,2022-04-09 23:02:50,-33.0117,17.9442,63.95,53,0,11.14
210,Keffi,NG,2022-04-09 23:02:51,8.8486,7.8736,76.41,76,100,5.91
211,Yulara,AU,2022-04-09 23:02:51,-25.2406,130.9889,69.22,24,0,7.36
212,Huarmey,PE,2022-04-09 23:02:51,-10.0681,-78.1522,71.17,78,60,7.99
213,Gainesville,US,2022-04-09 23:02:52,29.6516,-82.3248,63.09,32,0,12.66
