City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ponta Do Sol,PT,32.6667,-17.1,62.01,76,25,5.46,scattered clouds
79,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,14.97,few clouds
80,Saint George,US,37.1041,-113.5841,87.64,9,0,23.02,clear sky
81,New Norfolk,AU,-42.7826,147.0587,71.89,61,90,1.01,overcast clouds
82,Humaita,BR,-7.5061,-63.0208,75.67,97,99,2.44,light rain
83,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,72,68,23.17,broken clouds
84,Roma,US,43.2128,-75.4557,48.38,54,0,14.97,clear sky
85,Prince Rupert,CA,54.3161,-130.3201,41.09,81,20,8.05,few clouds
86,Laramie,US,41.3114,-105.5911,61.18,20,0,32.21,clear sky
87,Cherrapunji,IN,25.3,91.7,55.74,90,34,2.8,scattered clouds
88,Adrar,MR,20.5022,-10.0711,79.72,7,0,8.16,clear sky
89,Cativa,PA,9.3606,-79.8436,81.34,90,100,5.99,overcast clouds
90,Taitung,TW,22.7583,121.1444,70.07,88,75,4.61,light intensity drizzle
91,Ostrovnoy,RU,68.0531,39.5131,31.17,86,50,17.09,scattered clouds
92,Bontang,ID,0.1333,117.5,76.24,90,100,7.78,overcast clouds
93,Buala,SB,-8.145,159.5921,84.31,68,82,5.03,broken clouds
94,Taltal,CL,-25.4,-70.4833,63.88,76,23,4.38,few clouds
95,San Vicente,AR,-26.6167,-54.1333,64.56,83,0,3.33,clear sky
96,Severo-Kurilsk,RU,50.6789,156.125,31.06,72,100,7.54,overcast clouds
97,Flinders,AU,-34.5833,150.8552,67.17,94,11,5.99,few clouds
98,Lampazos De Naranjo,MX,27.0167,-100.5167,89.02,21,72,14.05,broken clouds
99,Port Lincoln,AU,-34.7333,135.8667,69.76,42,92,7.56,overcast clouds
100,Ilulissat,GL,69.2167,-51.1,14.02,67,75,4.61,broken clouds
101,Venado Tuerto,AR,-33.7456,-61.9688,73.76,48,0,8.88,clear sky
102,Samarai,PG,-10.6167,150.6667,83.89,76,17,18.25,few clouds
103,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.6,96,88,1.7,overcast clouds
104,Sokolow Podlaski,PL,52.4068,22.2531,34.29,81,7,9.13,clear sky
105,Savda,IN,21.15,75.8833,86.18,26,85,9.55,overcast clouds
106,Nanortalik,GL,60.1432,-45.2371,29.97,80,7,3.06,clear sky
107,Zapolyarnyy,RU,69.4154,30.8136,33.08,90,75,9.93,broken clouds
108,Dikson,RU,73.5069,80.5464,6.85,98,99,4.38,overcast clouds
109,Port Macquarie,AU,-31.4333,152.9167,69.89,81,11,5.26,few clouds
110,Mamonovo,RU,54.4643,19.938,38.91,75,8,20.67,clear sky
111,Grand-Santi,GF,4.25,-54.3833,73.99,99,100,2.46,moderate rain
112,Cidreira,BR,-30.1811,-50.2056,69.82,90,81,7.81,broken clouds
113,Tasiilaq,GL,65.6145,-37.6368,21.36,91,90,1.81,overcast clouds
114,Port Elizabeth,ZA,-33.918,25.5701,65.1,96,100,8.99,overcast clouds
115,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,43,11.25,light rain
116,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,66,40,18.41,scattered clouds
117,Caucaia,BR,-3.7361,-38.6531,80.55,82,20,3.44,few clouds
118,Raymondville,US,26.4815,-97.7831,82.51,30,23,23.11,few clouds
119,Marabba,SD,12.35,32.1833,94.35,25,81,12.86,broken clouds
120,Nouadhibou,MR,20.931,-17.0347,62.58,88,0,16.11,clear sky
121,Geraldton,AU,-28.7667,114.6,61.21,72,75,8.05,broken clouds
122,Faya,SA,18.3851,42.4509,60.91,49,0,1.72,clear sky
123,Morelia,MX,19.7008,-101.1844,72.39,52,76,3.87,broken clouds
124,Trogir,HR,43.5125,16.2517,46.45,66,20,14.97,few clouds
125,Nikolskoye,RU,59.7035,30.7861,36.88,92,98,5.86,overcast clouds
126,Pevek,RU,69.7008,170.3133,-12.68,90,33,1.57,scattered clouds
127,Moorhead,US,46.8739,-96.7676,52.99,54,0,18.41,clear sky
128,Kizema,RU,61.113,44.8302,38.75,99,100,6.96,overcast clouds
129,San Luis,AR,-33.295,-66.3356,70.02,53,1,8.9,clear sky
130,Grindavik,IS,63.8424,-22.4338,37.87,87,75,25.32,broken clouds
131,Mahebourg,MU,-20.4081,57.7,77.29,88,40,6.91,scattered clouds
132,Berlevag,NO,70.8578,29.0864,37.2,85,100,20.92,overcast clouds
133,Meulaboh,ID,4.1363,96.1285,76.71,89,83,3.38,broken clouds
134,Anadyr,RU,64.75,177.4833,27.1,80,40,17.9,scattered clouds
135,Coracao De Jesus,BR,-16.6853,-44.365,79.2,52,78,4.65,broken clouds
136,Maracaju,BR,-21.6144,-55.1683,74.01,85,83,4.9,broken clouds
137,Port Alfred,ZA,-33.5906,26.891,62.19,94,100,5.01,overcast clouds
138,Hithadhoo,MV,-0.6,73.0833,82.8,74,56,10.45,broken clouds
139,Twin Falls,US,42.3505,-114.6445,44.94,23,20,29.93,few clouds
140,Vung Tau,VN,10.346,107.0843,78.71,78,87,5.61,overcast clouds
141,Khanpur,PK,28.6453,70.6567,84.58,11,16,8.63,few clouds
142,Isla Mujeres,MX,21.2311,-86.731,78.85,55,22,16.49,few clouds
143,Dakar,SN,14.6937,-17.4441,74.28,64,0,16.11,clear sky
144,Klaksvik,FO,62.2266,-6.589,29.32,70,100,15.86,light snow
145,Cabras,IT,39.93,8.5314,54.9,65,33,18.5,scattered clouds
146,Ribeira Grande,PT,38.5167,-28.7,56.41,68,46,37.31,scattered clouds
147,Sao Filipe,CV,14.8961,-24.4956,74.62,69,50,9.04,scattered clouds
148,Mahanje,TZ,-9.9333,35.3333,62.11,97,19,1.05,light rain
149,Zhangye,CN,38.9342,100.4517,54.95,23,1,6.31,clear sky
150,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,74.93,82,61,3.49,broken clouds
151,Boguchany,RU,58.3814,97.4531,28.47,98,100,2.3,light snow
152,Itatuba,BR,-7.375,-35.6283,81.41,87,75,5.5,broken clouds
153,Leningradskiy,RU,69.3833,178.4167,-8.12,84,23,4.59,few clouds
154,Caravelas,BR,-17.7125,-39.2481,77.11,82,12,5.59,few clouds
155,Adre,TD,13.4667,22.2,84.27,16,58,4.61,broken clouds
156,Chifeng,CN,42.2683,118.9636,56.28,48,99,7.45,overcast clouds
157,Kushmurun,KZ,52.4503,64.6311,40.06,71,100,13.04,overcast clouds
158,Rapid Valley,US,44.0625,-103.1463,54.32,44,20,27.63,few clouds
159,Norman Wells,CA,65.282,-126.8329,15.84,57,75,24.16,broken clouds
160,Hunchun,CN,42.8675,130.3581,51.71,64,44,4.16,scattered clouds
161,Souillac,MU,-20.5167,57.5167,77.38,88,40,6.91,scattered clouds
162,Byron Bay,AU,-28.65,153.6167,67.95,80,50,5.82,scattered clouds
163,Pont-A-Mousson,FR,48.9079,6.0589,37.31,89,0,9.22,clear sky
164,Tambura,SS,5.6,27.4667,76.14,53,75,4.36,broken clouds
165,Hasaki,JP,35.7333,140.8333,61.2,74,0,6.98,clear sky
166,Thompson,CA,55.7435,-97.8558,39.36,60,100,10.36,overcast clouds
167,Raseiniai,LT,55.3736,23.1217,34.12,76,5,12.15,clear sky
168,Lagoa,PT,39.05,-27.9833,55.02,73,48,39.08,scattered clouds
169,Salalah,OM,17.0151,54.0924,80.69,78,0,1.14,clear sky
170,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,78,100,24.16,light snow
171,Resistencia,AR,-27.4606,-58.9839,77.11,73,75,5.75,thunderstorm
172,Chulman,RU,56.8479,124.9104,1.94,97,75,1.59,broken clouds
173,Alofi,NU,-19.0595,-169.9187,84.09,79,16,6.91,few clouds
174,Itaquyry,PY,-24.9333,-55.2167,74.25,86,85,3.53,overcast clouds
175,Guerrero Negro,MX,27.9769,-114.0611,77.9,41,2,15.28,clear sky
176,Nicoya,CR,10.1483,-85.452,81.97,53,95,10.04,overcast clouds
177,Eydhafushi,MV,5.1033,73.0708,84.16,73,100,11.56,overcast clouds
178,Chazuta,PE,-6.5742,-76.1367,77.85,98,100,2.48,overcast clouds
179,Batagay-Alyta,RU,67.8006,130.4114,2.64,90,58,4.16,broken clouds
180,Katherine,AU,-14.4667,132.2667,73.72,46,99,5.75,overcast clouds
181,Port Hardy,CA,50.6996,-127.4199,39.38,87,100,6.91,light intensity shower rain
182,Kitsuki,JP,33.4167,131.6167,55.2,76,0,3.44,clear sky
183,Horadiz,AZ,39.4488,47.3353,56.48,67,100,2.06,overcast clouds
184,Valdivia,CL,-39.8142,-73.2459,55.49,96,31,2.46,scattered clouds
185,Mago,RU,53.2514,140.1822,23.43,81,88,0.51,overcast clouds
186,Laguna,US,38.421,-121.4238,78.15,13,0,18.41,clear sky
187,Trincomalee,LK,8.5711,81.2335,78.08,85,100,10.54,overcast clouds
188,Bengkulu,ID,-3.8004,102.2655,76.24,86,98,3.42,overcast clouds
189,Kurumkan,RU,54.3,110.3,30.27,79,100,2.98,overcast clouds
190,Tabou,CI,4.423,-7.3528,81.27,86,73,6.04,light rain
191,Cherskiy,RU,68.75,161.3,-7.17,93,82,2.44,broken clouds
192,Collie,AU,-33.3667,116.15,49.69,73,62,4.32,broken clouds
193,Karpathos,GR,35.507,27.2132,60.76,88,56,4.61,broken clouds
194,Anloga,GH,5.7947,0.8973,82.17,81,100,10.09,overcast clouds
195,Rawson,AR,-43.3002,-65.1023,61.16,91,100,20.87,overcast clouds
196,Matara,LK,5.9485,80.5353,76.26,89,94,8.32,overcast clouds
197,Sisimiut,GL,66.9395,-53.6735,15.78,84,100,5.82,overcast clouds
198,Olafsvik,IS,64.8945,-23.7142,38.43,89,100,28.66,overcast clouds
199,Manihari,IN,25.35,87.6333,74.77,75,0,7.47,clear sky
200,Atar,MR,20.5169,-13.0499,77.45,8,0,5.5,clear sky
201,Clarence Town,AU,-32.5833,151.7833,72.86,82,7,0.6,clear sky
202,Bani,DO,18.2833,-70.3333,81.84,76,100,7.76,overcast clouds
203,Valle De Allende,MX,26.9333,-105.4,82.85,12,93,10.18,overcast clouds
204,Krasnyy Tkach,RU,55.4721,39.0802,43.92,86,100,9.91,overcast clouds
205,Waipawa,NZ,-41.4122,175.5153,60.93,65,26,3.15,scattered clouds
206,Tura,IN,25.5198,90.2201,68.56,94,0,4.0,moderate rain
207,Bilibino,RU,68.0546,166.4372,-5.12,84,99,1.88,overcast clouds
208,Aklavik,CA,68.2191,-135.0107,8.6,66,75,14.97,broken clouds
209,Wilmington,US,34.2257,-77.9447,54.9,43,88,3.0,overcast clouds
210,Welkom,ZA,-27.9864,26.7066,55.35,82,100,11.03,overcast clouds
211,Helong,CN,42.5397,128.9972,57.9,62,57,3.71,broken clouds
212,Mae Sai,TH,20.4335,99.8762,72.37,65,53,1.28,broken clouds
213,Komsomolskiy,UZ,40.4272,71.7189,66.92,55,95,4.61,overcast clouds
214,Chokurdakh,RU,70.6333,147.9167,-8.72,96,99,4.32,overcast clouds
215,Kanakapura,IN,12.55,77.4167,74.28,73,100,3.27,overcast clouds
216,Sri Aman,MY,1.2376,111.4621,73.45,100,100,5.01,overcast clouds
217,Nishihara,JP,26.1842,127.7558,72.68,92,100,9.22,overcast clouds
218,Carnarvon,AU,-24.8667,113.6333,66.27,72,100,9.22,overcast clouds
219,Buin,CL,-33.7333,-70.75,71.92,50,85,4.76,overcast clouds
220,Kargat,RU,55.1956,80.2811,30.34,83,100,5.7,overcast clouds
221,Vao,NC,-22.6667,167.4833,77.0,86,51,19.6,broken clouds
222,Biak,ID,-0.9131,122.8766,77.7,79,100,3.8,overcast clouds
223,Qaanaaq,GL,77.484,-69.3632,-1.48,74,95,4.43,overcast clouds
224,Tateyama,JP,34.9833,139.8667,66.09,74,0,4.63,clear sky
225,Buraydah,SA,26.326,43.975,75.65,13,3,9.91,clear sky
226,Weinan,CN,34.5036,109.5089,64.11,49,0,1.23,clear sky
227,Codrington,AU,-38.2667,141.9667,68.92,62,90,15.88,overcast clouds
228,La Ronge,CA,55.1001,-105.2842,43.05,52,75,12.66,broken clouds
229,Galle,LK,6.0367,80.217,78.64,83,99,9.66,overcast clouds
230,Hebi,CN,35.8992,114.1925,65.79,49,0,4.05,clear sky
231,Walvis Bay,NA,-22.9575,14.5053,54.55,94,0,2.3,clear sky
232,Aykhal,RU,66.0,111.5,10.33,94,46,2.48,scattered clouds
233,Raudeberg,NO,61.9875,5.1352,38.07,88,100,32.12,overcast clouds
234,Daru,PG,-9.0763,143.2092,76.66,90,100,5.44,light rain
235,Nalut,LY,30.3333,10.85,66.81,26,0,15.43,clear sky
236,Tazovskiy,RU,67.4667,78.7,-17.68,100,84,5.75,broken clouds
237,Kita,ML,13.0349,-9.4895,89.76,11,27,4.63,scattered clouds
238,Barrow,US,71.2906,-156.7887,-9.38,64,0,12.66,clear sky
239,Sattahip,TH,12.6664,100.9007,83.98,83,20,4.61,mist
240,Narsaq,GL,60.9167,-46.05,35.82,63,3,3.76,clear sky
241,Coahuayana,MX,18.7333,-103.6833,86.02,49,29,7.43,scattered clouds
242,Ust-Kuyga,RU,70.0167,135.6,-5.51,82,32,4.25,scattered clouds
243,Valle Hermoso,MX,25.6667,-97.8333,82.26,48,8,25.79,clear sky
244,Lodja,CD,-3.4833,23.4333,68.45,99,95,2.17,moderate rain
245,Beberibe,BR,-4.1797,-38.1306,79.39,83,83,8.19,broken clouds
246,Saint-Joseph,RE,-21.3667,55.6167,75.58,83,26,12.06,light rain
247,Gornopravdinsk,RU,60.05,69.9,9.59,98,55,3.0,broken clouds
248,Chuy,UY,-33.6971,-53.4616,67.03,85,34,10.38,scattered clouds
249,Sitka,US,57.0531,-135.33,42.69,65,40,10.36,scattered clouds
250,Lisieux,FR,49.1667,0.1667,42.53,82,9,3.51,clear sky
251,Ishigaki,JP,24.3448,124.1572,73.53,94,75,10.36,broken clouds
252,Santa Rosa,PH,14.3122,121.1114,81.01,80,50,5.1,scattered clouds
253,Wejherowo,PL,54.6057,18.2356,40.82,72,24,10.0,few clouds
254,Manakara,MG,-22.1333,48.0167,74.01,86,57,4.56,light rain
255,Hinton,CA,53.4001,-117.5857,37.76,41,100,14.61,overcast clouds
256,Puerto Ayacucho,VE,5.6639,-67.6236,83.01,72,92,6.22,overcast clouds
257,Sola,VU,-13.8833,167.55,82.53,69,71,13.62,broken clouds
258,Lubang,PH,13.8584,120.124,81.0,76,100,13.15,overcast clouds
259,Bubaque,GW,11.2833,-15.8333,76.41,72,19,18.1,few clouds
260,Marataizes,BR,-21.0433,-40.8244,77.13,89,88,9.8,overcast clouds
261,Santa Fe,AR,-31.6333,-60.7,76.98,76,1,1.99,clear sky
262,Axim,GH,4.8699,-2.2405,80.49,84,70,4.36,broken clouds
263,Guane,CU,22.2025,-84.0875,76.28,46,28,14.05,scattered clouds
264,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,94,100,3.44,moderate rain
265,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,100,100,4.61,mist
266,Valentin Gomez Farias,MX,28.2167,-106.5833,65.95,38,98,11.86,overcast clouds
267,Bobo Dioulasso,BF,11.1771,-4.2979,93.51,22,68,6.76,broken clouds
268,Olinda,BR,-8.0089,-34.8553,82.13,74,40,11.5,scattered clouds
269,Hollins,US,37.3413,-79.9431,48.58,53,40,13.8,scattered clouds
270,Namibe,AO,-15.1961,12.1522,71.02,78,6,4.03,clear sky
271,Dir,PK,35.2058,71.8756,59.29,36,1,11.05,clear sky
272,Oruro,BO,-17.9833,-67.15,46.09,82,98,7.45,overcast clouds
273,Bratsk,RU,56.1325,101.6142,30.69,95,100,10.6,light snow
274,Kuytun,RU,54.3419,101.5036,27.16,84,67,10.16,broken clouds
275,Puerto Colombia,CO,10.9878,-74.9547,84.29,84,57,23.2,broken clouds
276,College,US,64.8569,-147.8028,19.29,42,20,5.75,few clouds
277,Purgstall,AT,48.0584,15.1348,39.42,87,100,7.94,overcast clouds
278,Yar-Sale,RU,66.8333,70.8333,8.82,95,100,7.83,overcast clouds
279,Talnakh,RU,69.4865,88.3972,-5.8,99,100,2.82,overcast clouds
280,Darhan,MN,49.4867,105.9228,34.32,79,77,2.1,broken clouds
281,Timizart,DZ,36.8,4.2667,52.34,84,22,3.22,few clouds
282,Pangnirtung,CA,66.1451,-65.7125,16.25,92,100,1.5,overcast clouds
283,Mundo Nuevo,MX,18.7,-95.5,76.14,63,84,18.01,broken clouds
284,Maragogi,BR,-9.0122,-35.2225,79.18,83,100,9.19,overcast clouds
285,Ocos,GT,14.5094,-92.1933,87.98,68,86,9.57,overcast clouds
286,Blythe,US,33.6103,-114.5964,100.85,6,0,19.57,clear sky
287,Lorengau,PG,-2.0226,147.2712,83.07,75,75,6.49,broken clouds
288,Mackay,AU,-21.15,149.2,77.68,88,100,14.97,overcast clouds
289,San Patricio,US,28.017,-97.5169,84.54,30,1,22.41,clear sky
290,Necochea,AR,-38.5473,-58.7368,63.48,80,27,14.36,scattered clouds
291,Dawson Creek,CA,55.7666,-120.2362,38.84,56,20,17.27,few clouds
292,Kilindoni,TZ,-7.9139,39.6668,83.05,72,7,11.83,clear sky
293,Den Helder,NL,52.9599,4.7593,44.58,68,75,17.0,broken clouds
294,Luderitz,NA,-26.6481,15.1594,63.93,65,0,5.75,clear sky
295,Saskylakh,RU,71.9167,114.0833,-13.54,97,26,0.85,scattered clouds
296,Niquelandia,BR,-14.4739,-48.4597,78.49,62,60,1.86,broken clouds
297,Lucapa,AO,-8.4192,20.7447,66.47,92,100,1.79,overcast clouds
298,Kota,IN,25.1833,75.8333,85.26,13,48,7.49,scattered clouds
299,Puerto Escondido,MX,15.85,-97.0667,84.06,64,29,6.33,scattered clouds
300,Banjar,ID,-8.19,114.9675,76.75,88,42,2.89,scattered clouds
301,Nowy Targ,PL,49.4778,20.0323,33.75,96,76,3.33,broken clouds
302,Shebunino,RU,46.4339,141.8603,39.16,70,20,6.58,few clouds
303,Vostok,RU,46.4856,135.8833,35.47,73,77,3.85,broken clouds
304,Halifax,CA,44.6453,-63.5724,50.52,93,88,1.14,overcast clouds
305,Atasu,KZ,48.6814,71.6433,42.84,70,100,8.93,overcast clouds
306,Odweyne,SO,9.4092,45.064,74.93,53,24,4.9,few clouds
307,Srednekolymsk,RU,67.45,153.6833,-2.65,92,100,6.76,light snow
308,Cololaca,HN,14.3,-88.8833,74.41,68,90,7.96,overcast clouds
309,Mosquera,CO,4.7059,-74.2302,62.69,72,75,11.5,broken clouds
310,Karatau,KZ,43.1667,70.4667,58.6,77,92,5.19,overcast clouds
311,Soyo,AO,-6.1349,12.3689,78.82,88,91,5.21,overcast clouds
312,Langres,FR,47.8333,5.3333,31.19,94,7,2.46,clear sky
313,Zhuhai,CN,22.2769,113.5678,69.58,94,20,4.61,few clouds
314,Vila Velha,BR,-20.3297,-40.2925,82.35,85,0,12.66,clear sky
315,Atherton,GB,53.5237,-2.4935,38.75,75,85,2.46,overcast clouds
316,Marzuq,YE,14.4,46.4667,66.51,37,0,4.63,clear sky
317,Boca Do Acre,BR,-8.7522,-67.3978,77.04,92,93,1.66,overcast clouds
318,Bandarbeyla,SO,9.4942,50.8122,79.54,80,98,4.59,overcast clouds
319,Linjiang,CN,41.8069,126.9078,55.0,75,22,4.72,few clouds
320,Ixtapa,MX,20.7,-105.2,86.25,52,2,7.49,clear sky
321,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,12.66,broken clouds
322,Matai,TZ,-8.3,31.5167,56.61,96,43,4.09,scattered clouds
323,La Llanada,CO,1.49,-77.5835,59.77,94,100,2.59,light rain
324,Aksu,CN,41.1231,80.2644,64.13,28,84,15.21,broken clouds
325,Vardo,NO,70.3705,31.1107,36.48,82,100,24.4,overcast clouds
326,Kawalu,ID,-7.3817,108.2082,70.21,91,80,1.99,broken clouds
327,Nome,US,64.5011,-165.4064,31.15,93,100,6.91,snow
328,Mulanje,MW,-16.0316,35.5,65.05,97,20,3.29,few clouds
329,Nyurba,RU,63.2842,118.3319,11.17,99,98,1.61,overcast clouds
330,Iqaluit,CA,63.7506,-68.5145,22.73,79,100,11.5,light snow
